file_index,class
70007467,2
70007765,2
70014532,4
70015236,0
70038388,1
70068746,4
70070242,2
70076792,0
70081216,0
70092069,2
70102740,4
70103118,0
70104824,0
70117441,1
70122325,0
70123042,0
70135679,2
70145863,2
70147310,0
70154255,0
70159495,2
70172546,0
70176328,0
70179810,2
70213887,2
70232167,0
70252075,2
70261214,2
70282163,0
70288660,0
70288812,0
70293344,4
70301983,0
70303322,0
70318900,0
70333766,2
70340120,0
70342137,0
70343024,2
70347010,0
70409178,0
70430311,2
70457695,2
70468670,0
70485000,0
70517733,0
70536008,0
70540972,0
70542712,0
70554559,0
70554885,2
70563942,2
70566487,0
70572053,2
70593118,2
70594634,0
70601432,0
70620269,0
70643128,0
70644789,2
70655632,0
70657345,0
70662965,2
70667892,2
70669838,0
70672762,0
70679979,0
70709595,2
70724692,3
70738350,0
70743154,2
70756878,2
70762932,0
70763572,0
70796344,0
70831918,0
70865985,4
70873635,1
70884309,2
70887562,2
70893296,0
70897251,0
70902914,3
70913297,0
70916639,4
70918181,2
70930643,2
70976033,0
70995766,0
71041650,0
71057210,2
71063155,0
71064646,2
71073228,0
71090479,0
71092009,2
71113774,0
71117856,2
71119715,2
71125132,4
71160421,1
71188839,2
71197521,2
71201679,0
71209861,0
71229498,1
71232594,0
71234210,0
71241723,4
71260080,0
71284305,1
71303652,3
71310773,2
71339053,0
71343220,0
71346792,0
71349882,2
71351163,2
71355046,0
71389581,2
71416017,0
71442157,2
71450381,0
71461599,0
71536823,0
71540481,0
71549512,2
71578892,0
71584736,0
71589866,2
71615464,1
71619498,0
71686636,1
71689793,1
71712009,0
71720388,0
71743100,0
71759798,4
71761856,0
71765217,0
71779291,0
71783182,0
71801587,4
71830579,0
71838662,0
71846503,4
71895577,0
71895853,2
71949507,0
71989080,0
71990167,0
72011933,0
72013388,0
72014774,0
72054453,0
72061736,2
72068047,0
72110600,2
72121893,0
72129253,0
72135493,2
72175938,0
72177356,1
72204233,2
72207080,4
72207649,2
72228698,2
72243797,4
72300887,2
72306150,2
72310329,4
72335184,2
72346997,0
72365064,2
72365117,0
72365515,2
72372862,2
72383165,0
72403731,0
72427197,0
72433017,0
72441097,0
72442352,4
72450804,2
72459945,0
72461078,0
72463098,0
72467961,0
72473767,0
72479806,0
72550032,2
72565733,2
72569137,1
72575023,0
72594359,0
72609532,0
72619733,0
72622527,0
72721092,0
72722867,0
72725798,2
72739561,0
72758943,0
72795093,0
72799531,0
